Name,CountryOperatorOwner,OperatorOwner,Users,Purpose,ApogeeKM,LaunchMassKG,DateOfLaunch,LaunchSite
AAUSat-4,Denmark,University of Aalborg,Civil,Earth Observation,687,1,4/25/2016,Guiana Space Center
"ABS-2 (Koreasat-8, ST-3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35793,6330,2/6/2014,Guiana Space Center
ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35700,1800,6/15/2016,Cape Canaveral
"ABS-3 (Agila 2, Mabuhay 1)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35802,3775,8/19/1997,Xichang Satellite Launch Center
ABS-3A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35803,2000,3/2/2015,Cape Canaveral
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35793,4143,3/13/2004,Cape Canaveral
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35794,2894,9/26/1999,Baikonur Cosmodrome
"ABS-7 (Koreasat 3, Mugungwha 3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35791,3500,9/4/1999,Guiana Space Center
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,36013,4500,5/9/1998,Cape Canaveral
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,35984,4500,9/9/2003,Cape Canaveral
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,35937,5000,1/18/2009,Cape Canaveral
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,35500,5000,11/21/2010,Cape Canaveral
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,35805,5000,6/29/2012,Cape Canaveral
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,35903,5000,6/11/2016,Cape Canaveral
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,US Air Force,Military,Communications,35801,6169,5/3/2012,Cape Canaveral
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA,US Air Force,Military,Communications,35803,6169,9/18/2013,Cape Canaveral
Aeneas,USA,Department of Homeland Security,Government,Technology Development,790,3,9/13/2012,Vandenberg AFB
Aerocube 4.5A,USA,Aerospace Corporation,Commercial,Technology Development,791,5,9/13/2012,Vandenberg AFB
Aerocube 4.5B,USA,Aerospace Corporation,Commercial,Technology Development,792,5,9/13/2012,Vandenberg AFB
Aerocube 5A,USA,Aerospace Corporation,Commercial,Technology Development,886,5,12/6/2013,Vandenberg AFB
Aerocube 5B,USA,Aerospace Corporation,Commercial,Technology Development,886,5,12/6/2013,Vandenberg AFB
Aerocube 5C,USA,Aerospace Corporation,Commercial,Technology Development,802,2,10/8/2015,Vandenberg AFB
Aerocube 6A,USA,Aerospace Corporation,Commercial,Technology Development,700,5,6/19/2014,Dombarovsky Air Base
Aerocube 6B,USA,Aerospace Corporation,Commercial,Technology Development,700,5,6/19/2014,Dombarovsky Air Base
Aerocube 7A,USA,Aerospace Corporation,Commercial,Technology Development,802,2,10/8/2015,Vandenberg AFB
Aerocube 8A,USA,Aerospace Corporation,Commercial,Technology Development,700,5,5/20/2015,Cape Canaveral
Aerocube 8B,USA,Aerospace Corporation,Commercial,Technology Development,700,5,5/20/2015,Cape Canaveral
Aerocube 8C,USA,Aerospace Corporation,Commercial,Technology Development,585,2,11/11/2016,Vandenberg AFB
Aerocube 8D,USA,Aerospace Corporation,Commercial,Technology Development,584,2,11/11/2016,Vandenberg AFB
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,35808,3460,12/20/2008,Guiana Space Center
Afristar,USA,1Worldspace,Commercial,Communications,35802,2704,10/28/1998,Guiana Space Center
AIM (Aeronomy of Ice in Mesosphere),USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,552,215,4/25/2007,Vandenberg AFB
AISat-1,Germany,German Aerospace Center (DLR),Government,Communications,660,14,6/30/2014,Satish Dhawan Space Center
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norwegian Coastal Admnistration,Government,Communications,632,6,7/12/2010,Satish Dhawan Space Center
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norwegian Coastal Admnistration,Government,Communications,631,6,7/8/2014,Baikonur Cosmodrome
AIST-1,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,626,,12/28/2013,Plesetsk Cosmodrome
AIST-2,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,582,53,4/19/2013,Baikonur Cosmodrome
AIST-2D,Russia,Samara State Aerospace University,Civil,Technology Development,486,531,4/27/2016,Vostochny Cosmodrome
ALiCE  (AFIT LEO iMESA CNT E),USA,US Air Force Institute of Technology,Military,Technology Development,886,5,12/6/2013,Vandenberg AFB
Alphasat I-XL  (Inmarsat IV-A F4),United Kingdom/ESA,"INMARSAT, Ltd./European Space Agency",Commercial/Government,Communications/Technology Development,35787,6650,7/25/2013,Guiana Space Center
Alsat 2B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,660,117,9/26/2016,Satish Dhawan Space Center
Alsat-1B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,704,103,9/26/2016,Satish Dhawan Space Center
AlSat-1N,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,698,10,9/26/2016,Satish Dhawan Space Center
Alsat-2A (Algeria Satellite 2A),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,674,130,7/12/2010,Satish Dhawan Space Center
Amazonas-1,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35797,4545,8/4/2004,Baikonur Cosmodrome
Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35805,5465,10/1/2009,Guiana Space Center
Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35791,6265,2/7/2013,Guiana Space Center
Amazonas-4A,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35795,2938,3/22/2014,Guiana Space Center
"AMC-1 (Americom 1, GE-1)",USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35800,2783,9/8/1996,Cape Canaveral
"AMC-10 (Americom-10, GE 10)",USA,SES World Skies,Commercial,Communications,35797,2315,2/5/2004,Cape Canaveral
"AMC-11 (Americom-11, GE 11)",USA,SES World Skies,Commercial,Communications,35797,2340,5/19/2004,Cape Canaveral
AMC-15 (Americom-15),USA,SES World Skies,Commercial,Communications,35795,4200,10/14/2004,Baikonur Cosmodrome
AMC-16 (Americom-16),USA,SES World Skies,Commercial,Communications,35793,4312,12/17/2004,Cape Canaveral
AMC-18 (Americom 18),USA,SES World Skies,Commercial,Communications,35800,2081,12/8/2006,Guiana Space Center
"AMC-2 (Americom 2, GE-2)",USA,SES World Skies,Commercial,Communications,35798,2648,1/30/1997,Guiana Space Center
AMC-21 (Americom 21),USA,SES World Skies,Commercial,Communications,35793,2500,8/14/2008,Guiana Space Center
"AMC-3 (Americom 3, GE-3)",USA,SES World Skies,Commercial,Communications,35795,2845,9/4/1997,Cape Canaveral
"AMC-4 (Americom-4, GE-4)",USA,SES World Skies,Commercial,Communications,35791,3909,11/13/1999,Guiana Space Center
"AMC-6 (Americom-6, GE-6)",USA,SES World Skies,Commercial,Communications,35795,3901,10/22/2000,Baikonur Cosmodrome
"AMC-7 (Americom-7, GE-7)",USA,SES World Skies,Commercial,Communications,35798,1935,9/14/2000,Guiana Space Center
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,SES World Skies,Commercial,Communications,35798,2015,12/19/2000,Guiana Space Center
"AMC-9 (Americom 9, GE-12)",USA,SES World Skies,Commercial,Communications,35798,4100,6/7/2003,Baikonur Cosmodrome
Amos 2,Israel,Israel Aircraft Industries,Military/Commercial,Communications,35794,1400,12/27/2003,Baikonur Cosmodrome
Amos 3,Israel,Space-Communication Ltd,Military/Commercial,Communications,35789,,4/28/2008,Baikonur Cosmodrome
Amos 4,Israel,Space-Communication Ltd,Military/Commercial,Communications,35796,,8/31/2013,Baikonur Cosmodrome
Amsat-Oscar 7 (AO-7),USA,Amsat-NA,Civil,Communications,1459,29,11/15/1974,Vandenberg AFB
Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,35793,4710,11/21/2000,Guiana Space Center
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,35795,4500,9/9/2005,Baikonur Cosmodrome
Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,35790,5910,7/18/2004,Guiana Space Center
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,35794,4715,4/9/2007,Baikonur Cosmodrome
Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,35799,4905,4/15/2013,Baikonur Cosmodrome
AntelSat,Uruguay,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Civil,Technology Development,696,2,6/19/2014,Dombarovsky Air Base
AprizeSat 1 (LatinSat-C),Argentina,Aprize Satellites Argentina,Commercial,Communications/Technology Development,764,12,6/29/2004,Baikonur Cosmodrome
AprizeSat 10 (exactView-13),USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,733,12,6/19/2014,Dombarovsky Air Base
AprizeSat 2 (LatinSat-D),Argentina,Aprize Satellites Argentina,Commercial,Communications/Technology Development,850,12,6/29/2004,Baikonur Cosmodrome
AprizeSat 3,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,662,12,7/29/2009,Baikonur Cosmodrome
AprizeSat 4,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,674,12,7/29/2009,Baikonur Cosmodrome
AprizeSat 5,Canada,AprizeSat,Commercial,Communications,694,12,8/17/2011,Dombarovsky Air Base
AprizeSat 7,Canada,AprizeSat,Commercial,Communications,653,12,11/21/2013,Dombarovsky Air Base
AprizeSat 8 (exactView-12),USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,669,12,11/21/2013,Dombarovsky Air Base
AprizeSat 9 (exactView-11),Canada,exactEarth,Commercial,Communications/Maritime Tracking,715,12,6/19/2014,Dombarovsky Air Base
Apstar 1A,China,APT Satellite Holdings Ltd.,Commercial,Communications,35790,1383,7/3/1996,Xichang Satellite Launch Center
Apstar 6,China,APT Satellite Holdings Ltd.,Commercial,Communications,35794,4680,4/12/2005,Xichang Satellite Launch Center
Apstar 7,China,APT Satellite Holdings Ltd.,Commercial,Communications,35874,5054,3/31/2012,Xichang Satellite Launch Center
Apstar 9,China,APT Satellite Holdings Ltd.,Commercial,Communications,35788,5200,10/16/2015,Xichang Satellite Launch Center
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,APT Satellite Holdings Ltd.,Commercial,Communications,35795,3000,5/30/1998,Xichang Satellite Launch Center
Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,35805,4630,9/21/2011,Guiana Space Center
Arabsat 7F (Nimiq 1),Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,35794,3600,5/20/1999,Baikonur Cosmodrome
ARC-1 (Alaska Research Satellite-1),USA,University of Alaska-Fairbanks,Civil,Technology Development,801,1,10/8/2015,Cape Canaveral
ArSat 1,Argentina,ArSat,Commercial,Communications,35795,3000,10/16/2014,Guiana Space Center
ArSat 2,Argentina,ArSat,Commercial,Communications,35801,2977,9/30/2015,Guiana Space Center
Artemis (Advanced Data Relay and Technology Mission Satellite),ESA,European Space Agency,Commercial/Government,Communications/Technology Development,35803,3105,7/12/2001,Guiana Space Center
AsiaSat-3S (Asiasat 3SA),China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35792,3480,3/21/1999,Baikonur Cosmodrome
AsiaSat-4,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35789,4137,4/12/2003,Cape Canaveral
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35795,3760,8/11/2009,Baikonur Cosmodrome
AsiaSat-6 (Thaicom-7),China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35793,3700,9/7/2014,Cape Canaveral
AsiaSat-7,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35793,3813,11/25/2011,Baikonur Cosmodrome
AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35793,4500,8/5/2014,Cape Canaveral
AsiaStar,USA,1Worldspace,Commercial,Communications,35801,2775,3/21/2000,Guiana Space Center
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,"Ministry of Economy, Trade and Industry",Government,Earth Observation,507,500,11/6/2014,Dombarovsky Air Base
Astra 1D,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35795,2924,11/1/1994,Guiana Space Center
Astra 1F,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35797,3010,4/18/1996,Baikonur Cosmodrome
Astra 1G,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35791,3379,12/2/1997,Baikonur Cosmodrome
Astra 1H,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35794,3690,6/18/1999,Baikonur Cosmodrome
Astra 1KR,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35807,4332,4/20/2006,Cape Canaveral
Astra 1L,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35798,4500,5/4/2007,Guiana Space Center
Astra 1M,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35852,5345,11/5/2008,Baikonur Cosmodrome
Astra 1N,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35780,5350,8/6/2011,Guiana Space Center
Astra 2A,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35797,3635,8/30/1998,Baikonur Cosmodrome
Astra 2B,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35801,3315,9/14/2000,Guiana Space Center
Astra 2C,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35804,3643,6/16/2001,Baikonur Cosmodrome
Astra 2D,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35802,1420,12/19/2000,Guiana Space Center
Astra 2E,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35793,6052,9/29/2013,Baikonur Cosmodrome
Astra 2F,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35795,6000,9/28/2012,Guiana Space Center
Astra 2G,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35789,6000,12/27/2014,Baikonur Cosmodrome
Astra 3A,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35804,1500,3/29/2002,Guiana Space Center
Astra 3B,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35806,5471,5/21/2010,Guiana Space Center
Astra 5B,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35793,5724,3/22/2014,Guiana Space Center
Astrosat,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,649,230,9/28/2015,Satish Dhawan Space Centre
Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,35788,3080,2/6/2014,Guiana Space Center
Athenoxat-1 ((Athene Noctua Experimental Satellite),Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,550,6,12/16/2015,Satish Dhawan Space Center
Aurora  (Tabletsat-2U-EO),Russia,Sputnix Ltd.,Commercial,Technology Development,618,25,6/19/2014,Dombarovsky Air Base
Azerspace/Africasat-1a (Azersat-1),Azerbaijan,Ministry of Communications and Information Technologies,Government,Communications,35794,3250,2/7/2013,Guiana Space Center
Badr 4 (Arabsat 4B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,35791,3304,11/8/2006,Baikonur Cosmodrome
Badr 5 (Arabsat 5B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,35883,5420,6/3/2010,Baikonur Cosmodrome
Badr 5A (Arabsat 5A),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,35623,4940,6/26/2010,Guiana Space Center
Badr 6 (Arabsat 4AR),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,35805,3400,7/7/2008,Guiana Space Center
Badr 7 (Arabsat 6B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,35817,5500,11/10/2015,Guiana Space Center
BARS-M (Cosmos 2503),Russia,Ministry of Defense,Military,Earth Observation,586,4000,2/27/2015,Plesetsk Cosmodrome
BARS-M (Cosmos 2515),Russia,Ministry of Defense,Military,Earth Observation,594,4000,3/24/2016,Plesetsk Cosmodrome
BeeSat-1 (Berlin Experimental and Educational Satellite 1),Germany,Institut für Luft- und Raumfahrt,Civil,Technology Development,718,1,9/23/2009,Satish Dhawan Space Center
BeeSat-2 (Berlin Experimental and Educational Satellite 2),Germany,Institut für Luft- und Raumfahrt,Civil,Technology Development,579,1,4/19/2013,Baikonur Cosmodrome
BeeSat-3 (Berlin Experimental and Educational Satellite 3),Germany,Institut für Luft- und Raumfahrt,Civil,Technology Development,581,1,4/19/2013,Baikonur Cosmodrome
Beidou 2-12 (Compass M3),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,21595,2200,4/28/2012,Xichang Satellite Launch Center
Beidou 2-13 (Compass M4),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,21603,2200,4/28/2012,Xichang Satellite Launch Center
Beidou 2-14 (Compass M5),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,21591,3800,9/18/2012,Xichang Satellite Launch Center
Beidou 2-15 (Compass M6),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,21574,3800,9/18/2012,Xichang Satellite Launch Center
Beidou 2-16 (Compass G-6),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35799,3800,10/25/2012,Xichang Satellite Launch Center
Beidou 2-23 (Compass G-7),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35794,3800,6/12/2016,Xichang Satellite Launch Center
Beidou 3I-1S,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,36781,4200,3/30/2015,Xichang Satellite Launch Center
Beidou 3I-2S,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35953,4200,9/29/2015,Xichang Satellite Launch Center
Beidou 3M-1S,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,21549,800,7/25/2015,Xichang Satellite Launch Center
Beidou 3M-2S,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,21550,800,7/25/2015,Xichang Satellite Launch Center
Beidou 3M-3S,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,21532,800,2/1/2016,Xichang Satellite Launch Center
Beidou G1 (Compass G-1),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35803,2200,1/16/2010,Xichang Satellite Launch Center
Beidou G3 (Compass G-3),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35797,2200,6/2/2010,Xichang Satellite Launch Center
Beidou G4 (Compass G-4),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35809,6000,10/31/2010,Xichang Satellite Launch Center
Beidou G5 (Compass G-11),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35799,2300,2/24/2012,Xichang Satellite Launch Center
Beidou IGSO-1 (Compass G-5),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35893,4200,7/31/2010,Xichang Satellite Launch Center
Beidou IGSO-2 (Compass G-7),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35817,4200,12/17/2010,Xichang Satellite Launch Center
Beidou IGSO-3 (Compass G-8),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,37872,4200,4/9/2011,Xichang Satellite Launch Center
Beidou IGSO-4 (Compass G-9),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35879,4200,7/26/2011,Xichang Satellite Launch Center
Beidou IGSO-5 (Compass G-10),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35864,4200,12/1/2011,Xichang Satellite Launch Center
Beidou IGSO-6,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,35890,4200,3/30/2016,Xichang Satellite Launch Center
Beidou M1 (Compass M1),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,21545,2200,4/14/2007,Xichang Satellite Launch Center
"BeijinGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Civil,Earth Observation,703,166,10/27/2005,Plesetsk Cosmodrome
Belintersat-1,Belarus,Belintersat,Government,Communications,35792,5223,1/15/2016,Xichang Satellite Launch Center
BermudaSat-1 (Echostar 6),USA,"Echostar Technologies, LLC - leased to Bermuda, operated by SES Satellites",Commercial,Communications,35798,3700,7/14/2000,Cape Canaveral
Bird 2 (Bispectral InfraRed Detector 2),Germany,Institute of Space Sensor Technology and Planetary Exploration,Government/Civil,Earth Observation/Technology Development,521,92,10/22/2001,Satish Dhawan Space Centre
BIROS (Bispectral Infrared Optical System),Germany,German Aerospace Center (DLR),Government,Earth Observation,517,130,6/22/2016,Satish Dhawan Space Centre
BisonSat (Nwist Qwiqway),USA,Salish Kootenai College,Civil,Earth Observation/Technology Development,801,1,10/8/2015,Cape Canaveral
BKA 2 (BelKA 2),Belarus,National Academy of Sciences,Government,Earth Observation,507,400,7/22/2012,Baikonur Cosmodrome
BlackSky Pathfinder 1,USA,BlackSky Global,Commercial,Earth Observation,701,44,9/26/2016,Satish Dhawan Space Centre
Brazilsat B-2 (Brasilsat B-2),Brazil,Embratel Star One,Military/Commercial,Communications,35797,1780,3/28/1995,Guiana Space Center
Brazilsat B-3 (Brasilsat B-3),Brazil,Embratel Star One,Commercial,Communications,35803,1780,2/4/1998,Guiana Space Center
Brazilsat B-4 (Brasilsat B-4),Brazil,Embratel Star One,Commercial,Communications,35800,2495,8/17/2000,Guiana Space Center
BRISat,Indonesia,Bank Rakyat Indonesia (BRI),Commercial,Communications,35876,3540,6/19/2016,Guiana Space Center
BRITE-CA-1 (BRITE Toronto),Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Space Science,739,10,6/19/2014,Dombarovsky Air Base
"BRITE-PL-1 (BRIght-star Target Explorer - Poland, Lem)",Multinational,BRITE Consortium,Government,Space Science,886,10,11/21/2013,Dombarovsky Air Base
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)",Multinational,BRITE Consortium,Government,Space Science,633,10,8/19/2014,Taiyuan Launch Center
BSAT-3A,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,35794,1980,8/14/2007,Guiana Space Center
BSAT-3B,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,35725,2060,10/28/2010,Guiana Space Center
BSAT-3C/JCSat 110-R,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Commercial,Communications,35787,2910,8/6/2011,Guiana Space Center
Bugsat-1 (Tita),Argentina,Satellogic S.A.,Commercial,Technology Development,617,25,6/19/2014,Dombarovsky Air Base
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),France/USA,Centre National d'Etudes Spatiales (CNES)/NASA,Government,Earth Science,703,587,4/28/2006,Vandenberg AFB
Canopus-B (Kanopus Vulcan 1) ,Russia,Scientific Production Corporation (joint stock creation of Russian Space Agency),Government,Earth Observation,505,400,7/22/2012,Baikonur Cosmodrome
Can-X2 (Canadian Advanced Nanospace experiment),Canada,University of Toronto Institute for Aerospace Studies,Civil,Technology Development,629,7,4/28/2008,Satish Dhawan Space Center
Can-X4,Canada,University of Toronto Institute for Aerospace Studies,Civil,Technology Development,659,15,6/30/2014,Satish Dhawan Space Center
Can-X5,Canada,University of Toronto Institute for Aerospace Studies,Civil,Technology Development,656,15,6/30/2014,Satish Dhawan Space Center
CanX-7,Canada,University of Toronto Institute for Aerospace Studies,Civil,Technology Development,701,15,9/26/2016,Satish Dhawan Space Center
CartoSat 1 (IRS P5),India,Indian Space Research Organization (ISRO),Government,Earth Observation,619,1560,5/5/2005,Satish Dhawan Space Centre
"CartoSat 2 (IRS P7, CartoSat 2AT)",India,Indian Space Research Organization (ISRO),Government,Earth Observation,635,680,1/10/2007,Satish Dhawan Space Centre
CartoSat 2A,India,Indian Space Research Organization (ISRO),Military,Earth Observation,643,680,4/28/2008,Satish Dhawan Space Center
CartoSat 2B,India,Indian Space Research Organization (ISRO),Government,Earth Observation,645,694,7/12/2010,Satish Dhawan Space Center
CartoSat 2C,India,Indian Space Research Organization (ISRO),Government,Earth Observation,519,727,6/22/2016,Satish Dhawan Space Center
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),Canada,Canadian Space Agency,Government,Earth Science,1486,490,9/29/2013,Vandenberg AFB
CBERS 4 (China-Brazil Earth Resources Satellite 4),China/Brazil,China National Space Administration (China)/National Institute for Space Research (Brazil),Government,Earth Observation,748,1980,12/7/2014,Taiyuan Launch Center
CBNT-1 (Carbonite 1),United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Technology Development,658,91,7/10/2015,Satish Dhawan Space Centre
CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1),USA,Air Force Research Laboratory,Military,Technology Development,586,3,11/11/2016,Vandenberg AFB
CFESat (Cibola Flight Experiment Satellite),USA,Los Alamos National Labs (LANL),Government,Technology Development,544,159,3/9/2007,Cape Canaveral
Chandra X-Ray Observatory (CXO),USA,NASA Goddard Space Flight Center,Government,Space Science,138825,4742,7/23/1999,Cape Canaveral
Chao Fenbianlu Duo Guangpu Chengxiang Weixing (Ultra-resolution multispectral imaging satellite),China,Shanghai Engineering Center for Microsatellites,Government,Earth Observation,720,50,12/21/2016,Jiuquan Satellite Launch Center
ChinaSat 11 (Zhong Xing 11),China,China Satellite Communication Corp. (China Satcom),Commercial,Communications,35793,5100,5/1/2013,Xichang Satellite Launch Center
ChinaSat 1C (Zhong Xing 1C),China,China Satellite Communication Corp. (China Satcom),Commercial,Communications,35796,5200,12/9/2015,Xichang Satellite Launch Center
ChinaSat 2C (Zhong Xing 2C),China,China Satellite Communication Corp. (China Satcom),Commercial/Government,Communications,35801,5200,11/3/2015,Xichang Satellite Launch Center
ChinaSat 6B (Zhong Xing 6B),China,China Satellite Communication Corp. (China Satcom),Commercial/Government,Communications,35797,4600,7/6/2007,Xichang Satellite Launch Center
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)",China,Chinese Academy of Sciences,Government,Communications,748,100,10/21/2003,Taiyuan Launch Center
Chuangxin 1-2 (Innovation 1-2),China,Chinese Academy of Sciences,Government,Earth Observation,804,101,11/5/2008,Jiuquan Satellite Launch Center
Chuangxin 1-3 (Innovation 1-3),China,Chinese Academy of Sciences,Government,Earth Observation,804,100,11/20/2011,Jiuquan Satellite Launch Center
Chuangxin 1-4 (Innovation 1-4),China,Chinese Academy of Sciences,Government,Earth Observation,809,100,9/4/2014,Jiuquan Satellite Launch Center
