Name,CountryOperatorOwner,OperatorOwner,Users,Purpose,ApogeeKM,LaunchMassKG,DateOfLaunch,LaunchSite
XMM Newton (High Throughput X-ray Spectroscopy Mission),ESA,European Space Operations Centre (ESOC),Government,Space Science,114027,3764,12/10/1999,Guiana Space Center
XPNav-1,China,China Aerospace Science and Technology Corp.,Government,Technology Development,513,240,11/9/2016,Jiuquan Satellite Launch Center
X-Sat,Singapore,Centre for Research in Satellite Technology (CREST),Government,Earth Observation,823,91,4/20/2011,Satish Dhawan Space Center
XTAR-EUR,Spain,Ministry of Defense/XTAR,Military/Government,Communications,35792,3631,2/12/2005,Guiana Space Center
"XW-1 (Hope Oscar 68, HO-68, Xi Wang 1, Hope-1, CAS-1)",China,DFH Satellite/AMSAT-China,Civil,Communications,1205,60,12/15/2009,Taiyuan Launch Center
XW-2A (CAS-3A),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,535,25,9/19/2015,Taiyuan Launch Center
XW-2B (CAS-3B),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,539,10,9/19/2015,Taiyuan Launch Center
XW-2C (CAS-3C),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,538,10,9/19/2015,Taiyuan Launch Center
XW-2D (CAS-3D),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,539,10,9/19/2015,Taiyuan Launch Center
XW-2E (CAS-3E),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,538,2,9/19/2015,Taiyuan Launch Center
XW-2F (CAS-3F),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,540,2,9/19/2015,Taiyuan Launch Center
Yahsat-1A (Y1A),United Arab Emirates,Al Yah Satellite Communications Company (YAHSAT),Military/Commercial,Communications,35823,5953,4/22/2011,Guiana Space Center
Yahsat-1B (Y1B),United Arab Emirates,Al Yah Satellite Communications Company (YAHSAT),Military/Commercial,Communications,35791,6000,4/23/2012,Baikonur Cosmodrome
Yamal-202,Russia,Gazprom Space Systems,Commercial,Communications,35796,1320,11/24/2003,Baikonur Cosmodrome
Yamal-300K,Russia,Gaxprom Space Systems,Commercial,Communications,35866,1640,11/2/2012,Baikonur Cosmodrome
Yamal-401,Russia,Gazprom Space Systems,Commercial,Communications,35822,2976,12/15/2014,Baikonur Cosmodrome
Yamal-402,Russia,Gazprom Space Systems,Commercial,Communications,35789,4463,12/8/2012,Baikonur Cosmodrome
Yaogan 10 (Remote Sensing Satellite 10),China,People's Liberation Army (C41),Military,Earth Observation,628,,8/9/2010,Taiyuan Launch Center
Yaogan 11 (Remote Sensing Satellite 11),China,People's Liberation Army (C41),Military,Earth Observation,668,,9/22/2010,Jiuquan Satellite Launch Center
Yaogan 12 (Remote Sensing Satellite 12),China,People's Liberation Army (C41),Military,Earth Observation,496,,11/9/2011,Taiyuan Launch Center
Yaogan 13 (Remote Sensing Satellite 13),China,People's Liberation Army (C41),Military,Earth Observation,507,,11/29/2011,Taiyuan Launch Center
Yaogan 14 (Remote Sensing Satellite 14),China,People's Liberation Army (C41),Military,Earth Observation,481,,5/10/2012,Taiyuan Launch Center
Yaogan 15 (Remote Sensing Satellite 15),China,People's Liberation Army (C41),Military,Earth Observation,1207,1040,5/29/2012,Taiyuan Launch Center
"Yaogan 16A (Remote Sensing Satellite 16A, Yaogan Weixing 16)",China,People's Liberation Army (C41),Military,Earth Observation,1089,,11/25/2012,Jiuquan Satellite Launch Center
Yaogan 16B (Remote Sensing Satellite 16B),China,People's Liberation Army (C41),Military,Earth Observation,1090,,11/25/2012,Jiuquan Satellite Launch Center
Yaogan 16C (Remote Sensing Satlelite 16C),China,People's Liberation Army (C41),Military,Earth Observation,1081,,11/25/2012,Jiuquan Satellite Launch Center
"Yaogan 17A (Remote Sensing Satellite 17A, Yaogan Weixing 17)",China,People's Liberation Army (C41),Military,Earth Observation,1111,,9/1/2013,Jiuquan Satellite Launch Center
Yaogan 17B (Remote Sensing Satellite 17B),China,People's Liberation Army (C41),Military,Earth Observation,1111,,9/1/2013,Jiuquan Satellite Launch Center
Yaogan 17C (Remote Sensing Satellite 17C),China,People's Liberation Army (C41),Military,Earth Observation,1112,,9/1/2013,Jiuquan Satellite Launch Center
Yaogan 18 (Remote Sensing Satellite 18),China,People's Liberation Army (C41),Military,Earth Observation,513,,10/29/2013,Taiyuan Launch Center
Yaogan 19 (Remote Sensing Satellite 19),China,People's Liberation Army (C41),Military,Earth Observation,1207,,11/20/2013,Taiyuan Launch Center
Yaogan 20A (Remote Sensing Satellite 20A),China,People's Liberation Army (C41),Military,Earth Observation,1095,,8/9/2014,Jiuquan Satellite Launch Center
Yaogan 20B (Remote Sensing Satellite 20B),China,People's Liberation Army (C41),Military,Earth Observation,1093,,8/9/2014,Jiuquan Satellite Launch Center
Yaogan 20C (Remote Sensing Satellite 20C),China,People's Liberation Army (C41),Military,Earth Observation,1094,,8/9/2014,Jiuquan Satellite Launch Center
Yaogan 21 (Remote Sensing Satellite 21),China,People's Liberation Army (C41),Military,Earth Observation,494,,9/8/2014,Taiyuan Launch Center
Yaogan 22 (Remote Sensing Satellite 22),China,People's Liberation Army (C41),Military,Earth Observation,1209,,10/20/2014,Taiyuan Launch Center
Yaogan 23 (Remote Sensing Satellite 23),China,People's Liberation Army (C41),Military,Earth Observation,513,,11/14/2014,Taiyuan Launch Center
